Carimbo de data/hora,Endereço de e-mail,Qual seu nível de experiência com programação?,Qual o nível que você considera estar quanto ao conhecimento de C?,Você já utilizou a metodologia TDD (Test-Driven Development) em algum projeto?,"Com que frequência você utiliza ferramentas de IA Generativa (como ChatGPT, Gemini, Copilot, etc.)?",Quais ferramentas de IA Generativa você conhece?,Para quais finalidades você mais utiliza essas IAs na programação? (Marque as 3 principais),"O quão confiante você se sente ao programar o código sem utilizar uma IA para corrigir, escrever, estruturar ou realizar outras tarefas semelhantes?",Concorda com os Termos Acima?
20/10/2025 17:58:26,,"Intermediário (Já desenvolvi pequenos projetos, me sinto confortável com pelo menos uma linguagem)",Tenho ótimo conhecimento da sintaxe e ferramentas da linguagem,Não conheço o que é TDD.,Algumas vezes por semana,"ChatGPT, Gemini, Copilot, DeepSeek","Para depurar (debug) um código que não funciona., Para aprender novos conceitos de programação ou uma nova linguagem.","Confiante, geralmente funciona como esperado.",Sim
20/10/2025 17:58:35,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Faço códigos simples, usando o basico da linguagem","Já ouvi falar, mas nunca utilizei na prática.",Diariamente,"ChatGPT, Gemini, Copilot, DeepSeek, Llama","Para depurar (debug) um código que não funciona., Para refatorar ou otimizar um código existente., Para entender um código complexo escrito por outra pessoa.","Neutro, confio mas sempre testo com AI.",Sim
20/10/2025 17:59:07,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Algumas vezes por mês,"ChatGPT, Gemini, Copilot","Para depurar (debug) um código que não funciona., Para entender um código complexo escrito por outra pessoa.","Pouco confiante, reviso tudo com AI minuciosamente.",Sim
20/10/2025 18:01:20,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Algumas vezes por semana,"ChatGPT, Gemini, Copilot","Para gerar blocos de código ou funções inteiras., Para depurar (debug) um código que não funciona., Para aprender novos conceitos de programação ou uma nova linguagem., Para entender um código complexo escrito por outra pessoa.","Pouco confiante, reviso tudo com AI minuciosamente.",Sim
20/10/2025 18:07:39,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Diariamente,"ChatGPT, Gemini, Copilot, DeepSeek, Llama, Qwen","Para gerar blocos de código ou funções inteiras., Para depurar (debug) um código que não funciona.","Neutro, confio mas sempre testo com AI.",Sim
20/10/2025 18:10:46,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Diariamente,"ChatGPT, Gemini","Para aprender novos conceitos de programação ou uma nova linguagem., Para criar testes unitários.","Confiante, geralmente funciona como esperado.",Sim
20/10/2025 18:10:55,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Diariamente,"ChatGPT, Gemini","Para aprender novos conceitos de programação ou uma nova linguagem., Para criar testes unitários.","Confiante, geralmente funciona como esperado.",Sim
20/10/2025 18:10:58,,"Intermediário (Já desenvolvi pequenos projetos, me sinto confortável com pelo menos uma linguagem)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Diariamente,"ChatGPT, Gemini, Copilot","Para gerar blocos de código ou funções inteiras., Para depurar (debug) um código que não funciona., Para criar testes unitários.","Pouco confiante, reviso tudo com AI minuciosamente.",Sim
20/10/2025 18:13:41,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Algumas vezes por semana,"ChatGPT, Gemini, Copilot, DeepSeek, Grok, ManusAI, ","Para gerar blocos de código ou funções inteiras., Para depurar (debug) um código que não funciona.","Pouco confiante, reviso tudo com AI minuciosamente.",Sim
20/10/2025 18:13:47,,"Avançado (Tenho experiência sólida, já trabalhei em projetos complexos ou profissionalmente)",Tenho ótimo conhecimento da sintaxe e ferramentas da linguagem,"Já ouvi falar, mas nunca utilizei na prática.",Diariamente,"ChatGPT, Gemini, Copilot, DeepSeek","Para gerar blocos de código ou funções inteiras., Para depurar (debug) um código que não funciona., Para entender um código complexo escrito por outra pessoa.","Neutro, confio mas sempre testo com AI.",Sim
20/10/2025 18:21:12,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Algumas vezes por semana,"ChatGPT, Gemini","Para depurar (debug) um código que não funciona., Para refatorar ou otimizar um código existente.","Neutro, confio mas sempre testo com AI.",Sim
20/10/2025 18:27:49,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Diariamente,"ChatGPT, Gemini, DeepSeek, Llama","Para depurar (debug) um código que não funciona., Para refatorar ou otimizar um código existente., Para aprender novos conceitos de programação ou uma nova linguagem., Para criar testes unitários., Para entender um código complexo escrito por outra pessoa.","Pouco confiante, reviso tudo com AI minuciosamente.",Sim
20/10/2025 18:29:44,,"Intermediário (Já desenvolvi pequenos projetos, me sinto confortável com pelo menos uma linguagem)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Algumas vezes por mês,ChatGPT,"Para depurar (debug) um código que não funciona., Para aprender novos conceitos de programação ou uma nova linguagem.","Neutro, confio mas sempre testo com AI.",Sim
20/10/2025 18:29:46,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Diariamente,"ChatGPT, Gemini, Copilot, DeepSeek","Para depurar (debug) um código que não funciona., Para aprender novos conceitos de programação ou uma nova linguagem., Para entender um código complexo escrito por outra pessoa.","Confiante, geralmente funciona como esperado.",Sim
20/10/2025 18:30:29,,"Intermediário (Já desenvolvi pequenos projetos, me sinto confortável com pelo menos uma linguagem)",Tenho ótimo conhecimento da sintaxe e ferramentas da linguagem,Não conheço o que é TDD.,Diariamente,"ChatGPT, Gemini, Copilot, Grok ","Para gerar blocos de código ou funções inteiras., Para refatorar ou otimizar um código existente., Para criar testes unitários.","Pouco confiante, reviso tudo com AI minuciosamente.",Sim
20/10/2025 18:31:53,,"Intermediário (Já desenvolvi pequenos projetos, me sinto confortável com pelo menos uma linguagem)","Faço códigos simples, usando o basico da linguagem","Já ouvi falar, mas nunca utilizei na prática.",Algumas vezes por semana,"ChatGPT, Gemini, DeepSeek","Para depurar (debug) um código que não funciona., Para refatorar ou otimizar um código existente., Para entender um código complexo escrito por outra pessoa.","Neutro, confio mas sempre testo com AI.",Sim
20/10/2025 18:51:28,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Algumas vezes por semana,"ChatGPT, Gemini","Para gerar blocos de código ou funções inteiras., Para refatorar ou otimizar um código existente.","Pouco confiante, reviso tudo com AI minuciosamente.",Sim
