  ,Família A – Dúvidas conceituais,,,,,Família B – Geração de código,,,,,Família C – Correção e depuração,,,,,,,,Família E – Explicações e ensino,,,,,Família F – Estratégias de uso da IA,,,,,Família G – Aspectos afetivos/metacognitivos,,,
Nome do arquivo analisado,A1 – Dúvida sobre conceito matemático,A2 – Dúvida sobre conceito de programação em C,A3 – Dúvida sobre TDD/testes,A4 – Dúvida sobre uso de assert,A5 – Dúvida problema → algoritmo,B1 – Pedido de solução completa de código,B2 – Pedido de função isolada,B3 – Pedido de reenvio de código,B4 – Pedido de versão mais simples,B5 – Pedido de alternativa de implementação,C1 – Correção de erro de sintaxe,C2 – Correção de erro lógico,C3 – Checagem de código do aluno,C4 – Dependência para correção,C5 – Ajustes de estilo/legibilidade,D2 – Pedido de explicação sobre assert,D3 – Uso da IA para estratégia de testes,D5 – IA como oráculo de corretude,E1 – Pedido de explicação conceitual,E2 – Pedido de exemplo numérico,E3 – Pedido de analogia/intuição,E4 – Explicação de código linha a linha,E5 – Dúvida sobre ambiente/ferramenta,F1 – Uso como resposta pronta,F2 – Uso como tutor para aprender,F3 – Uso exploratório (comparar soluções),F4 – Repetição da mesma tarefa,F5 – Ajuste incremental guiado pela IA,G1 – Expressão de frustração/dificuldade,G2 – Expressão de alívio/satisfação,G3 – Consciência de lacuna de conhecimento,G4 – Planejamento/estratégia de estudo
Data 1 IA (2),,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,
Data 3 IA,,,,,,,,,,,,,,,,,,X,,X,,,,X,,,,,,,,
Data 5 IA,X,X,X,,,X,,,,,,,,,,,,,X,,,,X,X,,,,,,,,
Data 5 IA (2),,,,,,X,,X,,,,,,,,,,X,,,,,,X,,,X,,,,,
Data 8 IA (2),,,,,,X,,,,,,,,,,,,,,,,,,X,,,,X,,,,
Data 9 IA,X,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,
Data 11 IA,X,X,,X,X,X,X,,,,X,X,X,,,X,,,X,,,,X,X,,,,X,,,,
Data 17 IA,,,,,,X,,X,X,X,,,,,,,,,X,,,,,X,,,X,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Família A – Dúvidas conceituais,,,,,Família B – Geração de código,,,,,Família C – Correção e depuração,,,Família D – Testes e TDD,,Família E – Explicações e ensino,,Família F – Estratégias de uso da IA,,,Igor,,,,,,,,,,,
Nome do arquivo analisado,A1 – Dúvida sobre conceito matemático,A2 – Dúvida sobre conceito de programação em C,A3 – Dúvida sobre TDD/testes,A4 – Dúvida sobre uso de assert,A5 – Dúvida problema → algoritmo,B1 – Pedido de solução completa de código,B2 – Pedido de função isolada,B3 – Pedido de reenvio de código,B4 – Pedido de versão mais simples,B5 – Pedido de alternativa de implementação,C1 – Correção de erro de sintaxe,C2 – Correção de erro lógico,C3 – Checagem de código do aluno,D1 – Pedido de exemplos de testes,D2 – Pedido de explicação sobre assert,E1 – Pedido de explicação conceitual,E2 – Pedido de exemplo numérico,F1 – Uso como resposta pronta,F4 – Repetição da mesma tarefa,F5 – Ajuste incremental guiado pela IA,PEDIDO DE IMPLEMENTAÇÃO DE TDD,PEDIDO DE IMPLEMENTAÇÃO DE ASSERT,ENVIO DE EXEMPLOS DE TESTES NO PROMPT,Solicitação de persona,,,,,,,,
Data 1 IA (2),,,,,,X,,,,,X,X,X,,,,,X,,,,,,,,,,,,,,
Data 3 IA,,,,,,X,,,,,X,X,X,X,,,X,X,,,,,,,,,,,,,,
Data 5 IA,X,X,X,,X,X,,,,,,,,,,X,,X,,,X,X,,,,,,,,,,
Data 5 IA (2),,,,,,X,,X,,,,,,,,,,X,X,,,,X,,,,,,,,,
Data 8 IA (2),,,,,,X,,,,,X,X,X,,,,,X,,,X,X,,X,,,,,,,,
Data 9 IA,X,,,,X,X,,,,,,,,,,,,X,,,,X,X,,,,,,,,,
Data 11 IA,X,X,,X,X,X,X,,,,X,X,X,,X,X,,X,,X,X,X,,X,,,,,,,,
Data 17 IA,X,X,,,X,X,,X,X,X,,,,,,X,,X,X,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cods,,Themes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dúvida sobre conceito matemático,,TEMA 1 – Dificuldades conceituais na aprendizagem de programação e TDD,,,Doubt about mathematical concepts,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dúvida sobre conceito de programação em C,,- Dúvida sobre conceito matemático,,,Doubt about C programming concepts,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dúvida sobre TDD/testes,,- Dúvida sobre conceito de programação em C,,,Doubt about TDD/testing,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dúvida sobre uso de assert,,- Dúvida sobre TDD/testes,,,Doubt about the use of assert,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dúvida problema → algoritmo,,- Dúvida sobre uso de assert,,,Doubt about problem → algorithm formulation,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pedido de solução completa de código,,- Dúvida problema/algoritmo,,,Request for complete code solution,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pedido de função isolada,,- Pedido de explicação conceitual,,,Request for isolated function,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pedido de reenvio de código,,- Pedido de exemplo numérico,,,Request for code re-sending,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pedido de versão mais simples,,,,,Request for simplified version,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pedido de alternativa de implementação,,"TEMA 2 – Dependência da IA para geração, correção e refinamento de código",,,Request for alternative implementation,,,,,,,,,,,,,,,,,,,,,,,,,,
,Correção de erro de sintaxe,,- Pedido de solução completa de código,,,Correction of syntax error,,,,,,,,,,,,,,,,,,,,,,,,,,
,Correção de erro lógico,,- Pedido de função isolada,,,Correction of logical error,,,,,,,,,,,,,,,,,,,,,,,,,,
,Checagem de código do aluno,,- Pedido de reenvio de código,,,Code checking by the AI,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pedido de exemplos de testes,,- Pedido de versão mais simples,,,Request for test case examples,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pedido de explicação sobre assert,,- Pedido de alternativa de implementação,,,Request for explanation about assert,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pedido de explicação conceitual,,- Correção de erro de sintaxe,,,Request for conceptual explanation,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pedido de exemplo numérico,,- Correção de erro lógico,,,Request for numerical/example-based explanation,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uso como resposta pronta,,- Checagem de código do aluno,,,Use as ready-made answer generator,,,,,,,,,,,,,,,,,,,,,,,,,,
,Repetição da mesma tarefa,,- Uso como resposta pronta,,,Repetition of the same task,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ajuste incremental guiado pela IA,,- Repetição da mesma tarefa,,,Incremental adjustments guided by the AI,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pedido de implementação de TDD,,- Ajuste incremental guiado pela IA,,,Request for TDD implementation,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pedido de implementação de Assert,,,,,Request for assert implementation,,,,,,,,,,,,,,,,,,,,,,,,,,
,Envio de exemplos de teste no prompt,,"TEMA 3 – Uso da IA como suporte para testes, asserts e TDD",,,Sending test examples in the prompt,,,,,,,,,,,,,,,,,,,,,,,,,,
,Solicitação de persona,,- Pedido de exemplos de testes,,,Persona request,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,- Pedido de explicação sobre assert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,- Pedido de implementação de TDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,- Pedido de implementação de Assert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,- Envio de exemplos de teste no prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,- (Dúvida sobre TDD/testes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,- (Dúvida sobre uso de assert),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TEMA 4 – Estratégias de interação com o modelo e adaptação do comportamento da IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,- Solicitação de persona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,- Envio de exemplos de teste no prompt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
