Carimbo de data/hora,Endereço de e-mail,Qual seu nível de experiência com programação?,Qual o nível que você considera estar quanto ao conhecimento de JS?,Você já utilizou a metodologia TDD (Test-Driven Development) em algum projeto?,"Com que frequência você utiliza ferramentas de IA Generativa (como ChatGPT, Gemini, Copilot, etc.)?",Quais ferramentas de IA Generativa você conhece?,Para quais finalidades você mais utiliza essas IAs na programação? (Marque as 3 principais),"O quão confiante você se sente ao programar o código sem utilizar uma IA para corrigir, escrever, estruturar ou realizar outras tarefas semelhantes?",Concorda com os Termos Acima?
02/10/2025 07:21:15,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)",Não conheço JavaScript,Não conheço o que é TDD.,Algumas vezes por mês,ChatGPT,"Para gerar blocos de código ou funções inteiras., Para aprender novos conceitos de programação ou uma nova linguagem., Para criar testes unitários.","Neutro, confio mas sempre testo com AI.",Sim
02/10/2025 07:23:48,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Algumas vezes por mês,"ChatGPT, Gemini, Copilot, DeepSeek","Para depurar (debug) um código que não funciona., Para aprender novos conceitos de programação ou uma nova linguagem.","Confiante, geralmente funciona como esperado.",Sim
02/10/2025 07:24:19,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)",Não conheço JavaScript,Não conheço o que é TDD.,Diariamente,"ChatGPT, Gemini, Copilot, Bing","Para gerar blocos de código ou funções inteiras., Para depurar (debug) um código que não funciona., Para entender um código complexo escrito por outra pessoa.","Neutro, confio mas sempre testo com AI.",Sim
02/10/2025 07:28:19,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Algumas vezes por mês,"ChatGPT, Gemini",Para entender um código complexo escrito por outra pessoa.,"Confiante, geralmente funciona como esperado.",Sim
02/10/2025 07:36:26,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Conheço, mas nunca programei",Não conheço o que é TDD.,Algumas vezes por mês,"ChatGPT, Gemini, Copilot, DeepSeek",Para depurar (debug) um código que não funciona.,"Nada confiante, sempre desconfio da sintaxe/lógica.",Sim
02/10/2025 07:36:28,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Conheço, mas nunca programei",Não conheço o que é TDD.,Algumas vezes por mês,"ChatGPT, Gemini",Para depurar (debug) um código que não funciona.,"Nada confiante, sempre desconfio da sintaxe/lógica.",Sim
02/10/2025 07:37:06,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Raramente,"ChatGPT, Gemini, DeepSeek",Para entender um código complexo escrito por outra pessoa.,"Pouco confiante, reviso tudo com AI minuciosamente.",Sim
02/10/2025 07:38:08,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Conheço, mas nunca programei",Não conheço o que é TDD.,Algumas vezes por semana,"ChatGPT, Gemini, DeepSeek","Para aprender novos conceitos de programação ou uma nova linguagem., Para entender um código complexo escrito por outra pessoa.","Pouco confiante, reviso tudo com AI minuciosamente.",Sim
02/10/2025 07:40:28,,"Iniciante (Estou começando, conheço apenas os conceitos básicos)","Faço códigos simples, usando o basico da linguagem",Não conheço o que é TDD.,Algumas vezes por semana,"ChatGPT, Gemini, Copilot, DeepSeek","Para gerar blocos de código ou funções inteiras., Para depurar (debug) um código que não funciona.","Confiante, geralmente funciona como esperado.",Sim
02/10/2025 08:03:42,,"Intermediário (Já desenvolvi pequenos projetos, me sinto confortável com pelo menos uma linguagem)",Tenho ótimo conhecimento da sintaxe e ferramentas da linguagem,Não conheço o que é TDD.,Diariamente,"ChatGPT, Gemini, Copilot, DeepSeek","Para gerar blocos de código ou funções inteiras., Para aprender novos conceitos de programação ou uma nova linguagem., Para entender um código complexo escrito por outra pessoa.","Confiante, geralmente funciona como esperado.",Sim
