participant,group,rater,code,correction,design,style,total
IA_20251610,1,Igor,1,2,3,3,8
IA_20251610,1,Igor,2,1,2,2,5
IA_20251610,1,Igor,3,2,2,3,7
IA_2456654,2,Igor,1,1,3,3,7
IA_2456654,2,Igor,2,2,3,3,8
IA_2456654,2,Igor,3,3,3,3,9
AI_51561464,2,Igor,1,2,1,1,4
AI_51561464,2,Igor,2,2,2,2,6
AI_51561464,2,Igor,3,2,3,3,8
IA_20251610,1,kauan,1,2,3,3,8
IA_20251610,1,kauan,2,1,2,1,4
IA_20251610,1,kauan,3,2,2,2,6
IA_2456654,2,kauan,1,1,1,2,4
IA_2456654,2,kauan,2,2,2,2,6
IA_2456654,2,kauan,3,3,3,3,9
AI_51561464,2,kauan,1,2,1,1,4
AI_51561464,2,kauan,2,2,2,2,6
AI_51561464,2,kauan,3,2,2,1,5
